date,passenger_count
20000101,51748669
20000201,53588293
20000301,64946495
20000401,61996705
20000501,64347809
20000601,67806223
20000701,69851094
20000801,68482677
20000901,58106713
20001001,62152284
20001101,60211906
20001201,57942293
20010101,55109146
20010201,52917399
20010301,65068140
20010401,62374914
20010501,62623686
20010601,66194224
20010701,69529998
20010801,70132365
20010901,38729338
20011001,47745189
20011101,48248812
20011201,49815289
20020101,47842716
20020201,47054039
20020301,59208378
20020401,55051200
20020501,57281934
20020601,60535398
20020701,63425621
20020801,63619740
20020901,50013492
20021001,58249544
20021101,54496680
20021201,60458232
20030101,53602085
20030201,50205833
20030301,60507997
20030401,56118140
20030501,58626948
20030601,63375819
20030701,68450635
20030801,66855353
20030901,54452532
20031001,60408603
20031101,57261597
20031201,61013466
20040101,54994858
20040201,55570238
20040301,66227528
20040401,65052270
20040501,64817378
20040601,70052273
20040701,74234065
20040801,71520387
20040901,58897723
20041001,65686629
20041101,62505652
20041201,64493697
20050101,60095314
20050201,57766535
20050301,72260533
20050401,67159210
20050501,70104595
20050601,73675670
20050701,77790810
20050801,73604147
20050901,62535007
20051001,65430180
20051101,63771389
20051201,65070959
20060101,61090888
20060201,58010686
20060301,71644255
20060401,68974240
20060501,70219616
20060601,73570407
20060701,76423852
20060801,73056019
20060901,62449654
20061001,67055741
20061101,65459165
20061201,66330608
20070101,62546720
20070201,58733656
20070301,73048044
20070401,70673935
20070501,72693621
20070601,76215878
20070701,79596754
20070801,78410320
20070901,65149944
20071001,70046552
20071101,67423299
20071201,66775603
20080101,63437806
20080201,62151365
20080301,73887254
20080401,68962994
20080501,72046810
20080601,74480532
20080701,77374632
20080801,74753659
20080901,59768548
20081001,65248331
20081101,59204196
20081201,62995668
20090101,57150106
20090201,54324454
20090301,66328527
20090401,65165723
20090501,65052202
20090601,69436335
20090701,74791624
20090801,71769858
20090901,60249209
20091001,64553523
20091101,59970893
20091201,62717209
20100101,58221756
20100201,53422555
20100301,68065719
20100401,65229536
20100501,67543699
20100601,71457434
20100701,75612702
20100801,73129863
20100901,63297061
20101001,68064795
20101101,63421471
20101201,64348632
20110101,59368755
20110201,54980018
20110301,69590832
20110401,66788726
20110501,70270883
20110601,73004235
20110701,77476913
20110801,73648650
20110901,64646539
20111001,67733495
20111101,64202753
20111201,65462020
20120101,60680668
20120201,58522494
20120301,71051824
20120401,68123506
20120501,70412392
20120601,73936592
20120701,77159996
20120801,75777757
20120901,64348127
20121001,67573291
20121101,64968014
20121201,65601855
20130101,61952700
20130201,58121892
20130301,72181478
20130401,67906002
20130501,72286543
20130601,74793474
20130701,77515842
20130801,76229169
20130901,65529354
20131001,69437302
20131101,64156228
20131201,69901688
20140101,63032921
20140201,58326656
20140301,73791934
20140401,71047886
20140501,74563819
20140601,77023075
20140701,80978357
20140801,78967134
20140901,67870717
20141001,72441469
20141101,66659184
20141201,71636457
20150101,65574499
20150201,60835166
20150301,76291641
20150401,74068508
20150501,77718246
20150601,80391294
20150701,85866637
20150801,83152764
20150901,72528532
20151001,77503321
20151101,72338705
20151201,75098386
20160101,69321796
20160201,65814575
20160301,79309013
20160401,75797613
20160501,80942723
20160601,84494664
20160701,88015794
20160801,84548934
20160901,76155732
20161001,79019236
20161101,75252190
20161201,77448147
20170101,71867022
20170201,66012813
20170301,82176928
20170401,80069250
20170501,83600085
20170601,87740540
20170701,91624010
20170801,89024186
20170901,74937016
20171001,82604550
20171101,78719539
20171201,80155971
20180101,74037756
20180201,70088503
20180301,86708574
20180401,83996942
20180501,88314539
20180601,92657091
20180701,96610544
20180801,93490405
20180901,78791842
20181001,86193287
20181101,82584299
20181201,83360182
20190101,76927270
20190201,72149249
20190301,90767426
20190401,87177374
20190501,92578600
20190601,95766379
20190701,99421298
20190801,96224458
20190901,83142668
20191001,89246813
20191101,82823145
20191201,89976874
20200101,80964542
20200201,76071817
20200301,43622808
20200401,3327614
20200501,8660384
20200601,17040790
20200701,24827610
20200801,26295714
20200901,26257897
20201001,31153583
